# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
08061500,21365,38176,48749,60565,69831,78348,86277,88717,96113
08061540,10526,19065,24923,31869,37516,43159,48667,50413,55846
08062850,735,1553,2378,3791,5262,7235,9821,10796,14426
08063000,19791,29057,33844,38949,42151,45045,47707,48523,50947
08063005,204,657,1129,1675,2241,2939,3772,4075,5150
08063180,414,546,632,730,807,883,960,985,1064
08063500,23756,41556,51177,61596,68057,73745,78876,80434,85037
08063550,644,881,971,1048,1087,1117,1141,1147,1166
08063620,322,520,604,683,726,760,788,796,819
08064500,15007,26957,34444,43261,49467,55273,60817,62555,67835
08064630,67.39,101,119,138,151,164,176,179,191
08064700,6955,15606,25536,45316,65816,93283,134562,151043,215831
08065200,3749,8848,13150,19295,24703,30624,37086,39311,46722
08065320,231,303,330,353,365,374,380,382,388
08065500,38309,78113,114337,166575,211389,268397,335496,359721,444567
08065700,4505,9254,12848,17317,21237,25479,30111,31697,36513
08065800,9831,20006,27679,37185,45245,53974,63427,66647,76700
08066000,37687,61878,78669,100318,116995,133716,150720,156268,173746
08066100,5757,11678,15537,20059,23768,27336,30565,31572,34660
08066170,5009,10992,17449,29608,43942,63278,89670,99866,139007
08066200,6569,13966,20755,31488,40949,53211,68071,73523,92653
08066280,62.45,132,171,218,254,290,325,335,365
08066300,2523,5559,8212,12267,15796,20138,24888,26552,32198
08066400,646,1825,3534,7532,12738,21044,32854,38606,63562
08066500,40837,62898,78090,97666,112883,128206,143891,149028,165287
08067000,39425,67712,89477,118678,142944,170193,200228,210568,244007
08067500,2477,3620,4373,5330,6038,6755,7471,7703,8430
08067550,183,459,734,1185,1645,2234,2961,3234,4226
08067750,90.12,121,130,137,140,142,144,145,146
08068000,10732,25788,40064,63916,86010,114502,148510,161002,205454
08068300,347,1140,1866,2956,3922,5229,6706,7164,8730
08068325,1304,2034,2692,3760,4728,5999,7494,8042,9992
08068450,1816,3584,5538,9174,13283,18857,27204,30592,43024
08068500,5975,13345,20190,31453,42748,56385,72787,78777,100114
08068720,1245,1804,2096,2397,2582,2741,2879,2920,3037
08068740,1449,2505,3485,5132,6826,8806,11283,12211,15555
08068780,1506,2637,3392,4253,4943,5636,6315,6528,7188
08068800,2912,4854,6359,8576,10548,12633,14957,15763,18477
08069500,16226,39781,67793,125324,187007,269408,397818,449623,656890
08069850,108,346,726,1588,2650,4264,6623,7713,12649
08070000,5723,14320,22812,37219,50580,68415,91400,100078,131907
08070200,5530,13769,23394,42833,63416,91449,134533,152073,221849
08070500,2761,6246,10146,17852,26465,37901,54938,61850,88343
08071000,1785,4954,8371,14747,21339,30074,42005,46504,63310
08071280,4456,10218,15455,23498,30606,39797,50860,54906,69254
08071500,23639,58602,98162,174128,252295,357469,512710,574455,815423
08072300,1911,2665,3072,3506,3781,4022,4236,4300,4485
08072700,872,1632,2401,3769,5109,6968,9559,10521,14134
08072730,851,1810,2769,4379,5861,7837,10377,11334,14839
08072760,1161,2209,3113,4534,5831,7341,9131,9775,11991
08072800,1127,1976,2683,3643,4457,5417,6506,6889,8192
08073800,970,1502,1769,2071,2255,2419,2566,2611,2742
08074020,5006,8260,10541,13391,15689,18077,20451,21229,23692
08074100,520,767,868,959,1007,1045,1075,1084,1108
08074900,933,1372,1612,1870,2035,2179,2308,2347,2459
08075300,343,431,464,494,510,522,532,535,542
08075600,185,256,293,333,358,380,401,407,424
08075700,448,634,755,890,995,1099,1204,1238,1343
08075750,139,195,247,327,396,487,597,638,782
08077550,965,1347,1498,1646,1722,1780,1827,1840,1876
08078000,2401,3997,5232,7202,8993,10867,12979,13718,16224
08079500,91.27,498,1074,2271,3623,5488,8187,9348,13938
08079570,105,210,302,445,577,736,920,986,1217
08079575,3265,4189,4460,4659,4739,4793,4830,4840,4865
