# This data file contains the watershed characteristics derived
# from Asquith and Slade (1997) and a digital processing and 
# verification step conducted by colleagues at Texas Tech University
# in 2007.
#
# These watershed characteristics were used in multi-linear regression
# analysis described in Asquith and Roussel (2009).
#
# STATION = U.S. Geological Survey station identification number
# CDA = contributing drainage area in square miles
# MCS = dimensionless main-channel slope
# MAP = mean annual precipitation in inches
# YRS = years of record used
STATION,CDA,MCS,MAP,YRS
08385600,242,0.00511,13,47
08393200,31,0.02083,13.4,18
08393600,19.5,0.00905,12,30
08393900,397,0.00739,14.29,47
08394500,932,0.00746,16,56
08400000,265,0.00759,14,50
08401200,220,0.01458,14,38
08401800,254,0.00947,13.2,14
08401900,285,0.01326,14.5,41
08405100,14.6,0.01364,14.5,43
08405500,343,0.00902,15,59
08407800,38,0.01232,9.5,9
08408500,689,0.00748,14,67
08411500,464,0.00584,9.5,15
08424500,53.8,0.01983,17,18
08431700,52.4,0.02455,18,24
08431800,227,0.01338,17,16
08433000,612,0.00478,15.5,12
08435700,29.7,0.02264,15,9
08435800,1182,0.00509,15,14
08436800,1.14,0.00623,12,9
08444400,1.04,0.02243,13,10
08447020,763,0.00513,15,16
08447200,7.53,0.00767,18,8
08449000,2730,0.00193,20,35
08449400,3961,0.00188,20.5,16
08449470,7.9,0.00784,18,8
08449500,4185,0.00188,20.5,46
08449600,0.39,0.01888,19,9
08450500,4305,0.00183,20.5,13
08453000,46,0.00385,18,38
08453100,10,0.00523,18,9
08454900,3.39,0.00399,20.5,9
08455000,249,0.0033,21,54
08459600,0.61,0.01873,21.5,9
08466100,1.2,0.01169,22,9
08466200,0.4,0.00681,22,9
